name,fda_verified,fda_generic_name,fda_brand_names,brand,class,subclass,mechanism,route,fda_route,fda_dosage_form,half_life_hr_min,half_life_hr_max,protein_binding_pct,bioavailability_pct,renal_excretion_pct,primary_enzyme,secondary_enzymes,narrow_ti,max_daily_dose_mg,therapeutic_range,monitoring,pregnancy_cat,food_effect,contraindications,notes,fda_warnings_text,fda_contraindications_text,fda_drug_interactions_text,fda_pregnancy_text,top_adverse_reactions,fda_rxcui,fda_ndc,fda_manufacturer
azithromycin,True,AZITHROMYCIN,Azithromycin,Zithromax|Z-Pak,antibiotic,macrolide,Binds 50S ribosomal subunit → inhibits protein synthesis,oral|IV,ORAL,,68,68,51,37,6,CYP3A4,,False,2000,MIC dependent,QT interval|LFTs if prolonged|Cardiac monitoring in at-risk patients,B,Tablets: take with or without food. Suspension: 1hr before or 2hr after meals.,,QT prolongation risk — avoid with other QT-prolonging agents. Long tissue half-life.,,"4 CONTRAINDICATIONS • Patients with known hypersensitivity to azithromycin, erythromycin, any macrolide or ketolide drug. () • Patients with a history of cholestatic jaundice/hepatic dysfunction associated with prior use of azithromycin. () 4.1 Hypersensitivity Azithromycin tablets are contraindicat","7 DRUG INTERACTIONS • Nelfinavir: Close monitoring for known adverse reactions of azithromycin, such as liver enzyme abnormalities and hearing impairment, is warranted. () • Warfarin: Use with azithromycin may increase coagulation times; monitor prothrombin time. () 7.1 Nelfinavir Co-administration of nelfinavir at steady-state with a single oral dose of azithromycin resulted in increased azithrom",8.1 Pregnancy Risk Summary Available data from published literature and postmarketing experience over several decades with azithromycin use in pregnant women have not identified any drug-associated ri,OFF LABEL USE|DRUG INEFFECTIVE|DYSPNOEA|CHRONIC KIDNEY DISEASE|ACUTE KIDNEY INJURY|NAUSEA|PNEUMONIA|COUGH,248656,68788-7598,Preferred Pharmaceuticals Inc.
clarithromycin,True,CLARITHROMYCIN,Clarithromycin,Biaxin,antibiotic,macrolide,Binds 50S ribosomal subunit → inhibits protein synthesis,oral,ORAL,,3,7,70,50,40,CYP3A4,,False,1000,MIC dependent,"QT interval|LFTs|CYP3A4 substrate levels (statins, digoxin)",C,Take with food — reduces GI upset,,STRONG CYP3A4 mechanism-based inhibitor — effect persists days after stopping. Increases simvastatin/atorvastatin → rhabdomyolysis. Digoxin levels increase.,,"4 CONTRAINDICATIONS Hypersensitivity to clarithromycin or any macrolide drug ( 4.1 ) Cisapride and pimozide ( 4.2 ) History of cholestatic jaundice/hepatic dysfunction with use of clarithromycin ( 4.3 ) Colchicine in renal or hepatic impairment ( 4.4 ) Lomitapide, lovastatin, and simvastatin ( 4.5 )","7 DRUG INTERACTIONS Co-administration of clarithromycin tablets is known to inhibit CYP3A, and a drug primarily metabolized by CYP3A may be associated with elevations in drug concentrations that could increase or prolong both therapeutic and adverse effects of the concomitant drug. Clarithromycin tablets should be used with caution in patients receiving treatment with other drugs known to be CYP3A","8.1 Pregnancy Risk Summary Based on findings from animal studies, clarithromycin tablets are not recommended for use in pregnant women except in clinical circumstances where no alternative therapy is ",DRUG INTERACTION|DRUG INEFFECTIVE|NAUSEA|DYSPNOEA|DIARRHOEA|MALAISE|PYREXIA|HEADACHE,197517,43063-530,"PD-Rx Pharmaceuticals, Inc."
doxycycline,True,DOXYCYCLINE,doxycycline,Vibramycin|Doxy-100,antibiotic,tetracycline,Binds 30S ribosomal subunit → inhibits protein synthesis,oral|IV,ORAL,,18,22,93,93,40,,,False,400,MIC dependent,Photosensitivity|GI tolerance|Dental staining in children,D,"Take WITH food/milk to reduce esophageal irritation. Dairy, antacids, iron chelate — separate 2+ hours.",,Photosensitivity — use sunscreen. Avoid in children <8 (dental staining). GERD-like symptoms common.,"WARNINGS The use of drugs of the tetracycline class during tooth development (last half of pregnancy, infancy and childhood to the age of 8 years) may cause permanent discoloration of the teeth (yellow-gray-brown). This adverse reaction is more common during long-term use of the drugs, but it has be",CONTRAINDICATIONS This drug is contraindicated in persons who have shown hypersensitivity to any of the tetracyclines.,"Drug Interactions Because tetracyclines have been shown to depress plasma prothrombin activity, patients who are on anticoagulant therapy may require downward adjustment of their anticoagulant dosage. Since bacteriostatic drugs may interfere with the bactericidal action of penicillin, it is advisable to avoid giving tetracyclines in conjunction with penicillin. Absorption of tetracyclines is impai",Pregnancy: Teratogenic Effects There are no adequate and well-controlled studies on the use of doxycycline in pregnant women. The vast majority of reported experience with doxycycline during human pre,DRUG INEFFECTIVE|NAUSEA|FATIGUE|OFF LABEL USE|RASH|DIARRHOEA|PAIN|DYSPNOEA,1649988,60760-721,ST. MARY'S MEDICAL PARK PHARMACY
metronidazole,True,METRONIDAZOLE,Metronidazole,Flagyl,antibiotic,nitroimidazole,Reduced to toxic radical by anaerobic organisms → DNA strand breaks,oral|IV|topical,ORAL,,6,8,20,99,60,CYP3A4,CYP2C9,False,4000,MIC dependent,CBC for prolonged courses|Peripheral neuropathy,B,Take WITH food to reduce nausea,,DISULFIRAM-LIKE reaction with alcohol — absolute prohibition during and 48hr after course. Inhibits CYP2C9 → warfarin toxicity.,WARNINGS Hypersensitivity Reactions Hypersensitivity reactions including severe cutaneous adverse reactions (SCARs) can be serious and potentially life threatening (see ADVERSE REACTIONS ). Severe Cutaneous Adverse Reactions Severe cutaneous adverse reactions (SCARs) including toxic epidermal necrol,"CONTRAINDICATIONS Hypersensitivity Metronidazole tablet are contraindicated in patients with a prior history of hypersensitivity to metronidazole or other nitroimidazole derivatives. In patients with trichomoniasis, metronidazole tablet are contraindicated during the first trimester of pregnancy (se","Drug Interactions Disulfiram Psychotic reactions have been reported in alcoholic patients who are using metronidazole and disulfiram concurrently. Metronidazole should not be given to patients who have taken disulfiram within the last two weeks (see CONTRAINDICATIONS ). Alcoholic Beverages Abdominal cramps, nausea, vomiting, headaches, and flushing may occur if alcoholic beverages or products cont","Pregnancy: Teratogenic Effects There are no adequate and well controlled studies of metronidazole in pregnant women. There are published data from case-control studies, cohort studies, and 2 meta-anal",DRUG INEFFECTIVE|NAUSEA|OFF LABEL USE|DIARRHOEA|VOMITING|HEADACHE|PYREXIA|PAIN,314106,50090-0201,A-S Medication Solutions
fluconazole,True,FLUCONAZOLE,Fluconazole,Diflucan,antifungal,triazole,Inhibits fungal 14-α-demethylase (CYP51) → ergosterol depletion,oral|IV,ORAL,,30,30,11,94,80,CYP3A4,CYP2C9|CYP2C19,False,800,Clinical response,"LFTs|QT interval|Drug interactions (warfarin, phenytoin, statins)",D,Can be taken with or without food,,"STRONG CYP2C9 inhibitor (warfarin dose reduce 50%), CYP3A4 inhibitor. QT prolongation at high doses.","WARNINGS (1) Hepatic injury: Fluconazole should be administered with caution to patients with liver dysfunction. Fluconazole has been associated with rare cases of serious hepatic toxicity, including fatalities primarily in patients with serious underlying medical conditions. In cases of fluconazole",CONTRAINDICATIONS Fluconazole tablets are contraindicated in patients who have shown hypersensitivity to fluconazole or to any of its excipients. There is no information regarding cross-hypersensitivity between fluconazole and other azole antifungal agents. Caution should be used in prescribing fluc,"Drug Interaction Studies (See PRECAUTIONS, Drug Interactions) Oral contraceptives: Oral contraceptives were administered as a single dose both before and after the oral administration of fluconazole 50 mg once daily for 10 days in 10 healthy women. There was no significant difference in ethinyl estradiol or levonorgestrel AUC after the administration of 50 mg of fluconazole. The mean increase in e",Pregnancy Teratogenic Effects Potential for Fetal Harm: Use in pregnancy should be avoided except in patients with severe or potentially life-threatening fungal infections in whom fluconazole may be u,DRUG INEFFECTIVE|OFF LABEL USE|PYREXIA|NAUSEA|DIARRHOEA|DRUG INTERACTION|FATIGUE|PAIN,197699,68071-3474,"NuCare Pharmaceuticals,Inc."
sertraline,True,SERTRALINE HYDROCHLORIDE,Sertraline Hydrochloride,Zoloft,antidepressant,SSRI,Selective serotonin reuptake inhibitor,oral,ORAL,,26,26,99,44,12,CYP2C19,CYP2D6|CYP3A4,False,200,Clinical response,Suicidal ideation (first 4 weeks)|Serotonin syndrome signs|Hyponatremia in elderly,C,Take with food to improve bioavailability and reduce nausea. Bioavailability increases 30% with food.,,"Serotonin syndrome risk with MAOIs, tramadol, triptans. Discontinuation syndrome if stopped abruptly.","WARNINGS Clinical Worsening and Suicide Risk Patients with major depressive disorder (MDD), both adult and pediatric, may experience worsening of their depression and/or the emergence of suicidal ideation and behavior (suicidality) or unusual changes in behavior, whether or not they are taking antid",CONTRAINDICATIONS All Dosage Forms of Sertraline: The use of MAOIs intended to treat psychiatric disorders with Sertraline hydrochloride or within 14 days of stopping treatment with Sertraline hydrochloride is contraindicated because of an because of an increased risk if serotonin syndrome. The use ,"Drug Interactions Potential Effects of Coadministration of Drugs Highly Bound to Plasma Proteins –Because sertraline is tightly bound to plasma protein, the administration of sertraline hydrochloride to a patient taking another drug which is tightly bound to protein (e.g., warfarin, digitoxin) may cause a shift in plasma concentrations potentially resulting in an adverse effect. Conversely, advers",,NAUSEA|DRUG INEFFECTIVE|FATIGUE|HEADACHE|DIARRHOEA|DIZZINESS|ANXIETY|OFF LABEL USE,312940,63187-859,Proficient Rx LP
fluoxetine,True,FLUOXETINE HYDROCHLORIDE,Fluoxetine,Prozac,antidepressant,SSRI,Selective serotonin reuptake inhibitor,oral,ORAL,,24,72,94,72,11,CYP2D6,CYP2C9|CYP3A4,False,80,Clinical response,Suicidal ideation|Serotonin syndrome,C,Can be taken with or without food,,Norfluoxetine active metabolite t1/2 = 4-16 days. Significant CYP2D6 inhibitor. Long washout needed before MAOI.,,"4 CONTRAINDICATIONS When using fluoxetine capsules and olanzapine in combination, also refer to the Contraindications section of the package insert for Symbyax. Serotonin Syndrome and MAOIs: Do not use MAOIs intended to treat psychiatric disorders with fluoxetine or within 5 weeks of stopping treatm","7 DRUG INTERACTIONS As with all drugs, the potential for interaction by a variety of mechanisms (e.g., pharmacodynamic, pharmacokinetic drug inhibition or enhancement, etc.) is a possibility. Monoamine Oxidase Inhibitors (MAOIs): ( 2.9 , 2.10 , 4.1 , 5.2 ) Drugs Metabolized by CYP2D6: Fluoxetine is a potent inhibitor of CYP2D6 enzyme pathway ( 7.7 ) Tricyclic Antidepressants (TCAs): Monitor TCA le",8.1 Pregnancy Pregnancy Category C — Fluoxetine should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus. All pregnancies have a background risk of birth,DRUG INEFFECTIVE|DRUG INTERACTION|NAUSEA|FATIGUE|TOXICITY TO VARIOUS AGENTS|HEADACHE|COMPLETED SUICIDE|OFF LABEL USE,310384|310385|313989,71335-0827|71335-0923,Bryant Ranch Prepack
escitalopram,True,ESCITALOPRAM ORAL,Escitalopram Oral Solution,Lexapro,antidepressant,SSRI,Selective serotonin reuptake inhibitor — S-enantiomer of citalopram,oral,ORAL,,27,32,56,80,8,CYP2C19,CYP3A4,False,20,Clinical response,QT interval (dose-dependent)|Hyponatremia,C,Can be taken with or without food,,QT prolongation at high doses. Max 10mg in hepatic impairment or elderly.,,4 CONTRAINDICATIONS Escitalopram is contraindicated in patients: taking MAOIs with escitalopram or within 14 days of stopping treatment with escitalopram because of an increased risk of serotonin syndrome. The use of escitalopram within 14 days of stopping an MAOI intended to treat psychiatric disor,"7 DRUG INTERACTIONS Table 6 presents clinically important drug interactions with escitalopram. TABLE 6 Clinically Important Drug Interactions with Escitalopram Monoamine Oxidase Inhibitors (MAOIs) Clinical Impact: Concomitant use of SSRIs, including escitalopram, and MAOIs increases the risk of serotonin syndrome. Intervention: Escitalopram is contraindicated in patients taking MAOIs, including MA",,DRUG INEFFECTIVE|FATIGUE|NAUSEA|OFF LABEL USE|HEADACHE|DIARRHOEA|DRUG INTERACTION|DIZZINESS,351285,62135-729,"Chartwell RX, LLC"
alprazolam,True,ALPRAZOLAM,Alprazolam,Xanax,anxiolytic,benzodiazepine,Positive allosteric modulator of GABA-A receptors → CNS depression,oral,ORAL,,11,15,80,92,4,CYP3A4,,True,10,Lowest effective dose,Sedation|Respiratory depression|Dependence potential,D,Can be taken with or without food. Grapefruit increases levels significantly.,,High dependence risk. Taper slowly — withdrawal can be life-threatening. Avoid alcohol.,,"4 CONTRAINDICATIONS Alprazolam tablets are contraindicated in patients: with known hypersensitivity to alprazolam or other benzodiazepines. Angioedema has been reported [see Adverse Reactions (6.2) ] . taking strong cytochrome P450 3A (CYP3A) inhibitors (e.g., ketoconazole, itraconazole), except rit","7 DRUG INTERACTIONS Use with Opioids: Increase the risk of respiratory depression. ( 7.1 ) Use with Other CNS Depressants: Produces additive CNS depressant effects. ( 7.1 ) Use with Digoxin: Increase the risk of digoxin toxicity. ( 7.1 ) Use with CYP3A Inhibitors (except ritonavir): Increase the risk of adverse reactions of alprazolam. ( 4 , 5.5 , 7.1 ) Use with CYP3A Inducers: Increase the risk o","8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to psychiatric medications, including alprazolam, during pregnancy. H",DRUG ABUSE|TOXICITY TO VARIOUS AGENTS|COMPLETED SUICIDE|DRUG INEFFECTIVE|NAUSEA|FATIGUE|DEATH|HEADACHE,308047,68071-3481,"NuCare Pharmaceuticals,Inc."
phenytoin,True,PHENYTOIN SODIUM,Phenytoin Sodium,Dilantin,anticonvulsant,hydantoin,Blocks voltage-gated sodium channels in neuronal membranes,oral|IV,INTRAMUSCULAR|INTRAVENOUS,,20,60,90,90,5,CYP2C9,CYP2C19,True,600,Total 10-20 mcg/mL; Free 1-2 mcg/mL,Phenytoin level 2 weeks post-change|CBC annually|Gingival hyperplasia|Nystagmus,D,Enteral feeds reduce absorption — hold feeds 2hr before/after. Consistent food intake important.,,Non-linear (saturable) kinetics — small dose changes → large level changes. Induces CYP3A4/2C9.,,"4 CONTRAINDICATIONS Phenytoin Sodium Injection is contraindicated in patients with: A history of hypersensitivity to phenytoin, its inactive ingredients, or other hydantoins [see Warnings and Precautions (5.5) ] . Sinus bradycardia, sino-atrial block, second and third degree A-V block, and Adams-Sto",7 DRUG INTERACTIONS Phenytoin is extensively bound to plasma proteins and is prone to competitive displacement. Phenytoin is primarily metabolized by hepatic cytochrome P450 enzymes CYP2C9 and to a lesser extent by CYP2C19 and is particularly susceptible to inhibitory drug interactions because it is subject to saturable metabolism. Inhibition of metabolism may produce significant increases in circ,"8.1 Pregnancy P regnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to antiepileptic drugs (AEDs), such as Phenytoin Sodium Injection, d",DRUG INEFFECTIVE|DRUG INTERACTION|SEIZURE|TOXICITY TO VARIOUS AGENTS|CONVULSION|OFF LABEL USE|STATUS EPILEPTICUS|PYREXIA,1670351|1670353,0641-0493|0641-2555,Hikma Pharmaceuticals USA Inc.
levetiracetam,True,LEVETIRACETAM,Levetiracetam,Keppra,anticonvulsant,pyrrolidine,Binds SV2A synaptic vesicle protein → modulates neurotransmitter release,oral|IV,ORAL,,6,8,10,100,66,,,False,3000,12-46 mcg/mL (not routinely monitored),Renal function|Mood/behavioral changes|CBC,C,Can be taken with or without food. Food reduces Cmax slightly but not AUC.,,Minimal drug interactions (no CYP metabolism). Dose reduce in renal impairment. Irritability common.,,"4 CONTRAINDICATIONS Levetiracetam tablets are contraindicated in patients with a hypersensitivity to levetiracetam. Reactions have included anaphylaxis and angioedema [see Warnings and Precautions (5.4) ]. Known hypersensitivity to levetiracetam; angioedema and anaphylaxis have occurred ( 4 , 5.4 )",,"8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to antiepileptic drugs (AEDs), including levetiracetam, during pregna",DRUG INEFFECTIVE|SEIZURE|OFF LABEL USE|MATERNAL EXPOSURE DURING PREGNANCY|EPILEPSY|FATIGUE|DRUG INTERACTION|FOETAL EXPOSURE DURING PREGNANCY,311288,50090-7774,A-S Medication Solutions
salbutamol,True,ALBUTEROL SULFATE,Albuterol Sulfate HFA,Ventolin|ProAir|Albuterol,bronchodilator,short-acting beta-2 agonist (SABA),Beta-2 adrenergic agonist → bronchial smooth muscle relaxation,inhaled|oral|IV,RESPIRATORY (INHALATION),,5,6,10,15,69,,,False,32,"Clinical response (peak flow, symptoms)",HR|K+ (high doses cause hypokalemia)|Tremor,C,Inhaled: no food effect. Oral: food delays absorption.,,PRN use for acute bronchospasm. Frequent use (>2x/week) indicates poor control — reassess therapy.,,"4 CONTRAINDICATIONS Albuterol Sulfate HFA is contraindicated in patients with a history of hypersensitivity to any of the ingredients [see Warnings and Precautions ( 5.6 ), Description ( 11 )] . Hypersensitivity to any ingredient. ( 4 )","7 DRUG INTERACTIONS Other short-acting sympathomimetic aerosol bronchodilators should not be used concomitantly with albuterol. If additional adrenergic drugs are to be administered by any route, they should be used with caution to avoid deleterious cardiovascular effects. Beta-blockers: Use with caution. May block bronchodilatory effects of beta-agonists and produce severe bronchospasm. ( 7.1 ) D","8.1 Pregnancy Pregnancy Exposure Registry There is a pregnancy exposure registry that monitors pregnancy outcomes in women exposed to asthma medications during pregnancy. For more information, contact",DYSPNOEA|ASTHMA|DRUG INEFFECTIVE|COUGH|FATIGUE|PNEUMONIA|WRONG TECHNIQUE IN PRODUCT USAGE PROCESS|NAUSEA,2123076,80425-0359,"Advanced Rx of Tennessee, LLC"
montelukast,True,MONTELUKAST SODIUM,montelukast sodium,Singulair,antiasthmatic,leukotriene receptor antagonist,Blocks CysLT1 receptors → reduces bronchoconstriction and inflammation,oral,ORAL,,2.7,5.5,99,64,0,CYP3A4,CYP2C9,False,10,Clinical response,"Neuropsychiatric events (mood changes, suicidality — FDA warning)",B,Take in EVENING (allergic rhinitis/asthma). Standard tablet: no food effect. Chewable: avoid for 1hr after.,,FDA boxed warning for neuropsychiatric events. Reserve for when ICS preferred but not tolerated.,,4 CONTRAINDICATIONS • Hypersensitivity to any component of this product. • Hypersensitivity to any component of this product ( 4 ).,"7 DRUG INTERACTIONS No dose adjustment is needed when montelukast sodium is co-administered with theophylline, prednisone, prednisolone, oral contraceptives, terfenadine, digoxin, warfarin, gemfibrozil, itraconazole, thyroid hormones, sedative hypnotics, non-steroidal anti-inflammatory agents, benzodiazepines, decongestants, and Cytochrome P450 (CYP) enzyme inducers [see Clinical Pharmacology ( 12",8.1 Pregnancy Risk Summary Available data from published prospective and retrospective cohort studies over decades with montelukast use in pregnant women have not established a drug-associated risk of,DYSPNOEA|ASTHMA|DRUG INEFFECTIVE|FATIGUE|HEADACHE|COUGH|NAUSEA|OFF LABEL USE,311759,50090-7920,A-S Medication Solutions
omeprazole,True,OMEPRAZOLE,Omeprazole,Prilosec,GI agent,proton pump inhibitor (PPI),Irreversibly inhibits H+/K+-ATPase (proton pump) in gastric parietal cells,oral|IV,ORAL,,1,1.5,97,53,20,CYP2C19,CYP3A4,False,40,Symptom resolution; gastric pH >4,Mg++ (long-term)|Bone density (long-term)|C. diff risk|B12,C,Take 30-60 min BEFORE eating (breakfast preferred). Acid needed to activate. Food reduces absorption if taken simultaneously.,,Irreversible — effect lasts days despite short half-life. CYP2C19 PM have 3-5x exposure. Reduces clopidogrel activation.,"Warnings Allergy alert: do not use if you are allergic to omeprazole omeprazole may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If an allergic reaction occurs, stop use and seek medical help right away. Do not use if you have: trouble or pain swallowing food, vomi",,,,NAUSEA|DIARRHOEA|FATIGUE|DYSPNOEA|DRUG INEFFECTIVE|HEADACHE|CHRONIC KIDNEY DISEASE|PAIN,402014,63868-471,Chain Drug Marketing Association INC
pantoprazole,True,PANTOPRAZOLE SODIUM,Pantoprazole Sodium,Protonix,GI agent,proton pump inhibitor (PPI),Irreversibly inhibits H+/K+-ATPase,oral|IV,INTRAVENOUS,,1,1.9,98,77,71,CYP2C19,CYP3A4,False,80,Clinical response,Mg++|Bone density long-term,C,Take 30-60 min before meal. Food does not significantly affect AUC.,,Fewer CYP interactions than omeprazole — preferred if on clopidogrel.,,"4 CONTRAINDICATIONS Pantoprazole sodium is contraindicated in patients with known hypersensitivity reactions including anaphylaxis to the formulation or any substituted benzimidazole. Hypersensitivity reactions may include anaphylaxis, anaphylactic shock, angioedema, bronchospasm, acute tubulointers",7 DRUG INTERACTIONS See the full prescribing information for a list of clinically important drug interactions. ( 7 ) Table 3 includes drugs with clinically important drug interactions and interaction with diagnostics when administered concomitantly with pantoprazole sodium and instructions for preventing or managing them. Consult the labeling of concomitantly used drugs to obtain further informati,8.1 Pregnancy Risk Summary Available data from published observational studies did not demonstrate an association of major malformations or other adverse pregnancy outcomes with pantoprazole. In anima,FATIGUE|OFF LABEL USE|NAUSEA|DYSPNOEA|DIARRHOEA|DRUG INEFFECTIVE|PAIN|HEADACHE,283669,71288-600,Meitheal Pharmaceuticals Inc.
ondansetron,True,ONDANSETRON HYDROCHLORIDE,ondansetron hydrochloride,Zofran,antiemetic,5-HT3 receptor antagonist,Blocks serotonin 5-HT3 receptors centrally and peripherally → antiemesis,oral|IV|IM,ORAL,,3,6,70,60,5,CYP3A4,CYP1A2|CYP2D6,False,32,Clinical response,QT interval (dose-dependent — max 16mg IV),B,Can be taken with or without food,,QT prolongation — avoid in hepatic impairment >8mg IV. Serotonin syndrome risk with SSRIs (rare).,,"4 CONTRAINDICATIONS Ondansetron is contraindicated in patients: known to have hypersensitivity (e.g., anaphylaxis) to ondansetron or any of the components of the formulation [see Adverse Reactions (6.2) ] receiving concomitant apomorphine due to the risk of profound hypotension and loss of conscious","7 DRUG INTERACTIONS 7.1 Serotonergic Drugs Serotonin syndrome (including altered mental status, autonomic instability, and neuromuscular symptoms) has been described following the concomitant use of 5-HT 3 receptor antagonists and other serotonergic drugs, including SSRIs and SNRIs. Monitor for the emergence of serotonin syndrome. If symptoms occur, discontinue ondansetron and initiate supportive ",8.1 Pregnancy Risk Summary Published epidemiological studies on the association between ondansetron use and major birth defects have reported inconsistent findings and have important methodological li,NAUSEA|FATIGUE|DIARRHOEA|VOMITING|OFF LABEL USE|DYSPNOEA|DEATH|PYREXIA,198052,0615-8185,"NCS HealthCare of KY, LLC dba Vangard Labs"
ibuprofen,True,IBUPROFEN,Ibuprofen Dye Free,Advil|Motrin,NSAID,propionic acid derivative,Non-selective COX-1/COX-2 inhibitor → reduced prostaglandin synthesis,oral|topical|IV,ORAL,,1.8,2,99,87,45,CYP2C9,,False,3200,Clinical response,BP|Renal function|GI bleeding signs|CBC,C (D in 3rd trimester),Take WITH food or milk — reduces GI irritation. Does not affect absorption.,,Renal prostaglandin inhibition → AKI risk. Avoid with ACEi/ARBs/diuretics. Antihypertensive interference.,"Warnings Allergy alert: Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: rash facial swelling asthma (wheezing) hives skin reddening shock blisters If an allergic reaction occurs, stop use and seek medical help right away. Stomach bleedi",,,,DRUG INEFFECTIVE|PAIN|FATIGUE|NAUSEA|HEADACHE|ARTHRALGIA|DYSPNOEA|VOMITING,310965,59779-438,CVS Pharmacy
naproxen,True,NAPROXEN,Naproxen,Aleve|Naprosyn,NSAID,propionic acid,Non-selective COX inhibitor,oral,ORAL,,12,17,99,95,95,CYP2C9,,False,1500,Clinical response,BP|Renal function|GI bleeding,C (D in 3rd trimester),Take WITH food or milk,,Longer half-life than ibuprofen → twice daily dosing. Same GI/renal risks as all NSAIDs.,,"4 CONTRAINDICATIONS Naproxen tablets and naproxen sodium tablets are contraindicated in the following patients: • Known hypersensitivity (e.g., anaphylactic reactions and serious skin reactions) to naproxen or any components of the drug product [ see Warnings and Precautions ( 5.7 , 5.9 ) ] • Histor",7 DRUG INTERACTIONS See Table 1 for clinically significant drug interactions with naproxen. Table 1: Clinically Significant Drug Interactions with naproxen Drugs That Interfere with Hemostasis Clinical Impact: • Naproxen and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of naproxen and anticoagulants have an increased risk of serious bleeding compared t,"8.1 Pregnancy Risk Summary Use of NSAIDs, including naproxen tablets and naproxen sodium tablets, can cause premature closure of the fetal ductus arteriosus and fetal renal dysfunction leading to olig",DRUG INEFFECTIVE|PAIN|FATIGUE|ARTHRALGIA|NAUSEA|OFF LABEL USE|HEADACHE|DIARRHOEA,198014,50090-0481,A-S Medication Solutions
celecoxib,True,CELECOXIB,CELECOXIB,Celebrex,NSAID,selective COX-2 inhibitor,Selective COX-2 inhibition → reduced prostaglandin synthesis with less COX-1 effect,oral,ORAL,,11,11,97,40,27,CYP2C9,,False,800,Clinical response,BP|Renal function|Cardiac events|GI symptoms,C (D 3rd trimester),Food increases absorption ~20%. Can be taken with or without food.,,Less GI bleeding vs non-selective NSAIDs. Still renal and cardiovascular risk. CYP2C9 substrate.,,"4. CONTRAINDICATIONS Celecoxib is contraindicated in the following patients: Known hypersensitivity (e.g., anaphylactic reactions and serious skin reactions) to celecoxib, any components of the drug product [see Warnings and Precautions (5.7, 5.9) ]. History of asthma, urticaria, or other allergic-t",7. DRUG INTERACTIONS See Table 3 for clinically significant drug interactions with celecoxib. Table 3: Clinically Significant Drug Interactions with Celecoxib Drugs That Interfere with Hemostasis Clinical Impact: Celecoxib and anticoagulants such as warfarin have a synergistic effect on bleeding. The concomitant use of celecoxib and anticoagulants have an increased risk of serious bleeding compare,"8.1 Pregnancy Risk Summary Use of NSAIDs, including celecoxib, can cause premature closure of the fetal ductus arteriosus and fetal renal dysfunction leading to oligohydramnios and, in some cases, neo",DRUG INEFFECTIVE|PAIN|FATIGUE|OFF LABEL USE|ARTHRALGIA|NAUSEA|DIARRHOEA|VOMITING,205323,50090-4789,A-S Medication Solutions
allopurinol,True,ALLOPURINOL,Allopurinol,Zyloprim,antigout,xanthine oxidase inhibitor,Inhibits xanthine oxidase → reduced uric acid synthesis,oral,ORAL,,24,30,0,90,70,,,False,800,Serum urate <6 mg/dL,Uric acid level|LFTs|CBC|Renal function|Hypersensitivity (DRESS),C,Take WITH food to reduce GI upset. Take AFTER meals.,,Azathioprine/6-MP interaction — xanthine oxidase inhibition → mercaptopurine toxicity (reduce dose 75%). HLA-B*5801 screening in Asian patients.,,4 CONTRAINDICATIONS Allopurinol tablets are contraindicated in patients with a history of hypersensitivity reaction to allopurinol or to any of the ingredients of allopurinol tablets. Known hypersensitivity to allopurinol or to any of the ingredients of allopurinol tablets.,"7 DRUG INTERACTIONS The following drugs may increase the risk of serious skin reactions: bendamustine, thiazide diuretics, ampicillin and amoxicillin. ( 7.1 ) Capecitabine: Avoid concomitant use. ( 7.2 ) Mercaptopurine or Azathioprine: Reduce mercaptopurine or azathioprine dose as recommended in the respective prescribing information. ( 7.2 ) Pegloticase: Discontinue and refrain from initiating tr","8.1 Pregnancy Risk Summary Based on findings in animals, allopurinol tablets may cause fetal harm when administered to a pregnant woman. Adverse developmental outcomes have been described in exposed a",DIARRHOEA|FATIGUE|DYSPNOEA|NAUSEA|DEATH|ACUTE KIDNEY INJURY|OFF LABEL USE|PYREXIA,197320,63629-2113,Bryant Ranch Prepack
